Text,Predicted_Label,Justification,Persuasive_Phrases,Techniques
My husband was a brigadier in charge of Arms and Ammunition procurement for 
the Sierra Leone Army before his death. After his death I discovered that in 
his will, he specifically drew my attention to the sum of 42,2 MILLION US$ 
}, which he had deposited, in a safe box of the Private Security Company 
here in Johannesburg, South Africa. 
The lives and future of my family depends on this fund as such I will be 
grateful if you can assist us.In view of this, I cannot invest this fund in 
South Africa hence my asking you to assist me to transfer it out of South 
Africa for investment purposes in your country. For your efforts, 
I am prepared to offer you 25% of the total sum while 3% will be set aside 
for expenses incurred during the course of this transaction and the 
remaining 72% is for the family investment in your country. 
Please note that this transaction is risk-free and the major thing I ask of 
you is to assure me the safety of the money when transferred to your 
account. Furthern information and arrangement will commence as soon as 
trust, confidence and good relationship is established. 
I shall be most grateful if you maintain the confidentiality required in 
this transaction. Do not hesitate to call me on my phone for further 
directives or send me email to enable us commence towards the conclusion of 
this transaction. 
I await for your prompt response. 
Thanks and God bless, 
MRS.MARIA BANDA 
For the Family 









		
---------------------------------
Yahoo! for Good
 Click here to donate to the Hurricane Katrina relief effort.",Persuasive,"The paragraph is trying to convince the recipient to assist in transferring a large sum of money, using emotional appeals and promises of rewards.","""I cannot imagine the surprise this will bring to you, but please be rest assured is with good faith and intentions..."", ""I am prepared to offer you 25% of the total sum while 3% will be set aside for expenses incurred during the course of this transaction...""","Appeal to Authority, Appeal to Values, Loaded Language, Repetition, False Dilemma/No Choice, Consequential Oversimplification"
"Greeting in the name of our lord Jesus Christ.
I am Mrs. Catherine Charles, a widow to late sheik Charles. I am 61 years 
Old, i am now a new Christian convert, suffering from long time cancer of 
the breast, from all indication my conditions is really deteriorating It is 
quite obvious that I won't live more than six months, according to my 
doctors, this is because the cancer stage has gotten to a very stage.My late 
husband was killed during the U.S. raid against terrorism in Afghanistan,and 
during the period of our marriage we couldnt produce any child.my late 
husband was very wealthy and after his death,I inherited all his business 
and wealth. The doctors has advised me that I may not live for More than six 
months, so I now decided to divide the part of this wealth, to contribute to 
the development of the church in Africa, America Asia, and Europe. i prayed 
over it,. I am willing to donate the sum of $5,000.000.00 us dollars, to the 
less prvileged. Please I want you to note that Fundis lying in the central 
Bank of Nigeria and upon my instruction, my attorney presently is in Africa 
distributing relief materials to of bombast in slerra-leone, he will file in 
an application for the transfer of the money in your name.lastly, I honestly 
pray that this money when transferred will be sure for the said purpose, 
because I have come to find out that wealth acquisition without Christ is 
vanity. May the grace of our lord Jesus the love of god and the fellowship 
of God be with you and your family i await urgent reply.

  yours in Christ.
  Mrs. Catherine Charles",Non-Persuasive,"This paragraph appears to be a scam letter, as it is asking the reader to assist in transferring a large sum of money. The tone is not professional, and the language is overly dramatic and emotive.",None,None
"MR PETER ADAMS
AUDITING AND ACCOUNTING UNIT
FOREIGN REMITTANCE DEPT
CREDIT BANK BENIN
COTONOU-BENIN REPUBLIC
WEST AFRICA.
DIRECT CONTACT:
+229 97 87 30 79

ALTERNATIVE EMAIL:peter_adams3010@yahoo.it

My dear  
,

I am MR PETER ADAMS, the director in charge of auditing and 
accounting section of Credit Bank Benin republic in West Africa with 
due respect and regard. I have decided to contact you on a business 
transaction that will be very beneficial to both of us at the end of 
the transaction.

During our investigation and auditing in this bank, 
my department came across a very huge sum of money belonging to a 
deceased person who died on 30th january 2000 on Kenya Airways with 
aircraft Airbus 310-304 at location Abidjan, Ivory Coast,  with 
registration number 5Y-BEN while travelling with his entire family, his 
wife, two children and a maid on a festive visit to Abidjan and since 
his untimely death the funds has been dormant in his account with this 
Bank without any claim of the fund in our custody either from his 
family or relation before our discovery to this development.

Although 
personally, I kept this information secret within myself and partners 
to enable the whole plans and idea be Profitable and successful during 
the time of execution. The said amount was (USD$24.1M)Twenty four 
Million one Hundred Thousand united states dollars As it may interest 
you to know, I got your impressive information through my good friend 
who works with chamber of commerce on foreign business relations here 
in Cotonou-Benin, it is him who recommended your person to me to be 
viable and capable to champion a business of such magnitude without any 
problem.

Meanwhile all the whole arrangement to put claim over this 
fund as the bonafide next of kin to the deceased and get the required 
approval and transfer this money to a foreign account has been put in 
place, all directives and needed information will be relayed to you as 
soon as you indicate your interest and willingness to assist us and 
also benefit yourself to this great business opportunity.

In fact i 
could have done this deal alone but because of my position in this 
country as a civil servant, we are not allowed to operate a foreign 
account and would eventually raise an eye brow on my side during the 
time of transfer because i work in this bank.

This is the actual 
reason why it will require a second party or fellow who will forward 
claims as the next of kin to the Bank and also present a foreign 
account where he will need the money to be re-transferred into on his 
request as it may be after due verification and  clarification by the 
correspondent branch of the bank where the whole money will be remitted 
from to your own designated bank account.

May i at this point 
emphasize that this transaction is 100% risk free as i have made all 
arrangements for a successful transaction as an insider of the bank 
before contacting you.

On smooth conclusion of this transaction, you 
will be entitled to 30%of the total sum as gratification, while 10% 
will be set aside to take care of any expenses that may arise during 
the time of transfer like telephone bills, fax and our travel tickets 
to come over to your country for the sharing of the fund while 60% will 
be for me and my partners.

Please you have been advised to keep this a 
top secret as we are still in service and intend to retire from service 
after we conclude this deal with you.

I will be monitoring the whole 
situation here in this bank until you confirm the money in your account 
and ask us to come down to your country for subsequent sharing of the 
fund according to percentages previously indicated and further 
investment either in your country or any country you will advice us to 
invest in.

All other necessary information will be sent to you on your 
acceptance to champion this transaction with me. I suggest you get back 
to me as soon as possible stating your wish in this deal.

For 
confidentiality reasons,kindly call me on my direct line and also reply 
to my private 

Email:peter_adams3010@yahoo.it

Yours Faithfully,
MR 
PETER ADAMS
+229 97 87 30 79",Non-Persuasive,"The letter appears to be a scam, attempting to deceive the recipient into participating in a fraudulent activity.",None,None
"Attn,
  Greeting, 
I solicit your confidence in this transaction that I propose to you. This is by virtue of its nature as being utterly CONFIDENTIAL. Though I know that a transaction of this magnitude will make any one apprehensive and worried but I am assuring you that all will be well at the end of the day. I have decided to contact you due to the urgency of this transaction. 
Your discreteness and ability to handle a transaction of this nature is of the uttermost importance. 
  Let me start by introducing myself properly to you.My name is  Mr Mike Charles Kobi, I'm the Son of late COL. JOHNSON KOBI (The assistant chief of general staff of sierra Leone�s revolutionary united front R.U.F) and at the crown Prince of kuloma village in the south � west district of sierra Leone; who died on the 29th of august 2000 with some of his colleagues during the war in my Country.

  I came to know of you in my �private� search on the Internet for a reliable and reputable person to handle this confidential transaction which involves the transfer of a huge sum of money to a foreign account. In brief, I have the sum of Nine million, two hundred thousands US dollars (9,200,000:00 U.S. dollars). This money was deposited by my late father in a high secured security company here in Dakar - Senegal, of which I was made the sole beneficiary along side with my aged mother. 
Because of the present situation in my country sierra Leone, I decided to leave the country immediately because of some security reasons and also to look for a trust worthy and reliable person(s) who can assist us to transfer this money out of Dakar Senegal based on the agreement that was signed by my late father and the security company before his death. 
As a Young Man, I pray that you being a kind hearted person(s) will surely help me to transfer this money to your country and also to assist in investing it in a profitable business which will yield more money.  I feel that I can confide in you , hoping that you will not betray me. 
  I have proposed twenty per cent (30%) of this money to you, so as for you to give all necessary assistance and protections we need in your country, 60% for us and 10% for the expenses which both will incurred as a result of this transaction. 
  Please treat as highly confidential because our future depends  on this money being the only thing that we have after running away from our country. 
  All the vital documents covering this deposit in the security company are with me here in Dakar Senegal and will be faxed to you on demand after I certify that you are worthy to do business with. The reason I searched for you importantly is because, based on the agreement made by my late father and the security company that simply stipulates that in case of his death, his money should be transferred out of Africa. 
   I would like to secure my money in your care as I have decided to order a command to the security company to transfer the money to you depending on your urgent reply to my request and my assessment of your person. Note that this transaction demands the highest trust and confidence between the two of us. Moreover, it is risk free in the sense that I have taken proper care of all formalities regarding this transaction. 
If this proposal is acceptable by you, please do not hesitate to contact me Mike Charles Kobi by writing to the above mail address.You can reach me with my aternative mail at(macdani500@hotmail.com) You will have to send your most confidential Telephone/Fax numbers so that I can relay confidential information - as they will come in directly to you. 
Thanking you in advance for your anticipated cooperation. 
Expecting a reply. 
Thank you. God Bless. 
Yours Faithfully, 
Mike Charles Kobi.",Persuasive,"The paragraph uses emotional appeals, exaggerated claims, and vague language to create a sense of urgency and trust.","""I am assuring you that all will be well at the end of the day"", ""I have decided to contact you due to the urgency of this transaction"", ""Please treat as highly confidential because our future depends on this money being the only thing that we have after running away from our country"".","Appeal to Fear/Prejudice, Appeal to Values, Loaded Language, Repetition, Exaggeration/Minimisation, Obfuscation/V"
"Coll�gue,
J'ai recu une bonne information de vous que
vous �tes bien fond� et avec beaucoup de confiance.Je
suis ravi d'avoir eu cette information parce que je suis
interess� par un programme d'investissement entre
nous.Je suis Hon.Rajesh Anand Bhagwan ,Ministre d'Enviroment et d'unit� de d�veloppement national sous le gouvernement du premier ministre Hon. Paul Raymond.En ma capacit�, j'ai d�cern� un Contrats de construction de b�timents de gouvernement de millions de dollars Am�ricains � une compagnie Allemand(Philipp Holzmann AG in Frankfurt am Main).Dans l'ex�cution du
projet,la compagnie a d�couvert une grande somme de
pierre chaux dans deux des endroits.J'ai collabor�
avec la compagnie dans un accord mutuel concernant le
montant et j'ai d�ja recu 48 millions dollars Am�ricains.
En tant que minstre, je ne peux pas pr�senter ou
faire circuler cette somme en banque dans mon pays.Mon traitement
est moins de 1000 dollars Am�ricains et aussi je dois
consid�rer la stipulation rigide, r�gles et r�glements
en vigueur dans mon pays pour les fonctionnaires. 
La situation ci-dessus m'a fait d�cider � solliciter votre collaboration afin que je puisse mettre ces fonds sous votre garde pour que nous puissons r�aliser
mon investissement propos�.Vous serez r�compens�
convenablement avec 25% des fonds entiers

J'arrangerais toutes les proc�dures n�cessaires
pour que les fonds vous parviennent .Ce serait souhaitable
que vous me contactiez d�s que vous recevez mon mail 
pour que je puisse vous communiquer la d�marche � suivre 
pour la r�ception des fonds sans aucun emp�chement.Cette
affaire a besoin de votre attention urgente, de votreconfiance
et de votre discretion.J'esp�re que je peux compter sur vous.
Merci et � tr�s bientot.

Hon.Rajesh Anand Bhagwan,MP.

Ministre, ENDU.

Republique de Mauritius

 
  Dear Sir,

Greetings . I am Hon. Rajesh Anand Bhagwan,MP.Republic of Mauritius. Presently I am the Minister of Enviroment and National Development Unit,under the Government of Prime Minister Hon. Paul Raymond .Acting in my capacity, I awarded a number of large Government building/construction contracts to a German Construction firm(Philipp Holzmann AG in Frankfurt am Main) worth hundreds of millions of dollars. In the execution of this project the German firm discovered a colossal amount of precious stones in one of the sites. I collaborated with this firm in a mutual agreement as regards the proceeds of which I have now received my share of exactly US $48 million.I cannot introduce or circulate this amount into the Mauritian banking system considering my provisional duty as a minister, also earning less than $1000 equivalent of Mauritian Rupee (our local currency) and the strict stipulations of the Bureau of conduct guidelines and regulations for Public/Civil servants. Furthermore, Groups of persons'in the Government have ganged up against me, with false allegations of an intention by me to contest the next presidential elections .This has caused disent and discontent in my party circles, now prompting my decision to take flight with my family ,hence my soliciting your co-operation to take delivery of the funds into your custody for investment purposes .25% of the entire funds will be apportioned to you for your efforts and assistance I implore you to accord this transaction the confidentiality and secrecy it deserves no matter what your decision may be.

I urgently await your response!

Regards

Hon.Rajesh Anand Bhagwan,MP.

Minister, ENDU.

Republic of Mauritius.",Persuasive,"The email appeals to the reader's sense of opportunity, offering a large sum of money and a potential investment, while also creating a sense of urgency and secrecy.","""I have now received my share of exactly US $48 million"", ""25% of the entire funds will be apportioned to you for your efforts and assistance""","Appeal to Wealth, Loaded Language, Appeal to Fear/Prejudice, Appeal to Urgency."
"Dear Friend,

Please as you read this, I don't want you to feel sorry for me, because, I 
believe everyone will die someday. My name is Mr. John Naveed, a merchant 
from Dubai, in the U.A.E. I have been diagnosed with Oesophageal cancer. It 
has defiled all forms of medical treatment, and right now I have only about 
a few months to live, according to medical experts.

I have not particularly lived my life so well as a good person, as I never 
really cared for anyone (not even myself) but my business. Though I am very 
rich, I was never Generous, I was always hostile to people and only focused 
on my business as that was the only thing I cared for. But now I regret all 
this, as I now know that there is more to life than just wanting to have or 
make all the money in the world.

I believe when God gives me a second chance to come to this world I would 
live
my life a different way from how I have lived it. Now that God has called me 
and at the point of death, I have willed and given most of my property and 
assets to my immediate and extended family members as well as a few close 
family friends.

I want God to be merciful to me and accept my soul, so I have decided to 
give
alms to charity organizations, as I want this to be one of the last good 
deeds
I do on earth. So far, I have distributed money to some charity 
organizations
in the U.A.E, Malaysia and some countries in Africa. Now that my health has 
deteriorated so badly, I cannot do so many things by myself anymore.

I once asked members of my family to close one of my accounts and distribute 
the
money that I have there to charity organization in Bulgaria and Pakistan, 
they
refused and selfishly kept the money to themselves. Hence, I do not trust 
them anymore, as they seem not to be contended with what I have left for 
them.

The last of my money which no one knows of is the huge cash deposit of 
eleven
million dollars $11,000,000,00 that I have with a finance/Security Company 
abroad. I will want you to help me collect this deposit and dispatched it to 
various charity organizations. I have set aside some part of this deposit 
for you as compensation for your time and any inconvenience this will cost 
you. You can also contact me on mr_johnnaveed@yahoo.co.uk

God be with you.
Mr. John Naveed",Persuasive,"The letter appeals to the reader's emotions, using the writer's terminal illness to create sympathy and a sense of urgency.","""Please as you read this, I don't want you to feel sorry for me, because, I believe everyone will die someday."" and ""I want God to be merciful to me and accept my soul, so I have decided to give alms to charity organizations...""","Appeal to Fear/Prejudice, Appeal to Values, Flag Waving, Loaded Language, Repetition, Name-Calling/Labeling."
"Hello Dear. 
I am writting this letter with due respect and heartful of tears since we have not known or met ourselves previously I am asking for your assistance. 
I want to find out if it's possible for you to deal with individual as to investment . 
I came across your profile and I feel it's highly reputable that is why I pick an interest getting across to you in respect of investment at my disposal . 
I be will so glad if you can allow me and lead me to the right channel towards your assistance to my situation now. 
I will make my proposal well known if I am given the opportunity. 
I would like to use this opportunity to introduce myself to you. 
Well I am Mr Cyril Kelvin from Liberia,the only son of Col, Kelvin Onwun, My father is now late,he died some months back during the last and current crisis in my country(Liberia). 
He was one of the high officers in the leadership of formal president Charles Taylor who is now in exile after many innocent soul were killed ,My father was unlucky to be one among those that were killed by the rebel. 
The main reason why I am contacting you now is to seek you assistance in the area of my future investment and also for a help hand over some huge amount of money in my possession. 
This money (US 8.5 Million) was deposited in a security and finance company in Europe some years ago by my father. 
He made me the sole beneficiary. 
I am now asking you to stand on my behalf to make this claim and also l want you to stand as my partner oversea and in time of the investment as well. 
As I have mention earlier I will make the procedure to this issue to be well known to you if I am given the opportunity to do so. 
Pls attach your direct and full information . 
Mr Cyril Kelvin.",Non-Persuasive,"The letter lacks a clear purpose, and the request for assistance is vague and unrelated to the reader's interests.",None,None
"Hello 
I will want you to be of good assistance to me, i know we have not meet before or have any conversation before, however i will want you to bear with me and be of good assistance to my request. Be informed that i am working in a Bank here in Abidjan, and in our remittance department, the sum of $1,000,000.00 United State Dollars was deposited by one late Mrs. Roseline Johnson, that was working with United Nation. And for your information, nobody knows about this money, because i am the director of our remittance department, and i will want you to reply me with your telephone and fax number together with your full resident address, so it will enable me to write 4 cheque's of $250,000.00 Each, and have it send to you by DHL, and for your information, i am going to give you the sum of $200,000.00 from the total sum as soon as the cheque is be clear in your account.
Thanks Steve Gebrial",Persuasive,The message is trying to establish a relationship with the recipient and gain their trust by appealing to their sense of good assistance and cooperation.,"""I will want you to bear with me and be of good assistance to my request""",Appeal to Values (Invoking a sense of cooperation and mutual assistance)
"Kosombo  Chamberlee & Associate.
11 Baker Squre Lagos Nigeria.
Tel/Fax:234-8035820155.
Email address:barr_kok@yahoo.com


My Dear:

First,I must solicit your confidence in this transaction, this by virtue if 
its nature as being utterly CONFIDENTIAL and TOPSECRET.Though I know that a  
transaction of this magnitude will make  any one apprehensive and worried, 
but I am assuring you that all will be well at the end of the day. I am 
barrister Kofi Kosombo,solicitor at law.I am the personal attorney to Mr  
Paul Hamp , a national of your country,who was in contract with shell 
development company in Nigeria.On the 21st of April 1999,my client,his wife 
And their three Children were involved in  a caraccident along sagbama 
express road.

All occupants of the vehicle unfortunately lost their lives. Since then I 
have made several enquiries to your embassy to locate any of my clients 
extended relatives  this has also proved unsuccessful. After these several 
unsuccessful attempts, I decided to trace his last name over the Internet, 
to locate any member of his family  hence I contacted you. I have contacted 
you to assist in retrieving the sum of US$10m deposited in a security 
company by my client before it get'sconfisicated because the security 
company doesn't know that the content of the consignment is cash because on 
the day of deposite we declared it as family valuables because we never want 
them to know the true content of the consignment.

The security company has issued me a notice to provide the next of kin or 
have the consignment confisicated within the next two weeks and these very 
money is too  big for me to allow it to beconfisicated by the authority. 
Since I have been unsuccesfull in locating the the relatives for over 2 
years now I seek your consent to  present you as the next of kin of the 
deceased since you have the same last name so that the proceeds of this 
consignment valued at 10million dollars can be released to you and then you 
and me can share the money. 60% to me and 40% to you I have all necessary 
legal documents that can be used to back the claim.

All I require is your honest cooperation to enable us see this deal through. 
I guarantee that this will be executed under a legitimate arrangement that 
will protect you from any breach of the law. I am not imposing this 
transaction on you,It is a thing of self  willing ness,so it is either you 
write me back and tell me you are willing and I will know the next step to 
take because this fund must be claimed either with your help  or the help of 
somebody else. After going through the proposal and under standing it very 
well and you are willing to do this transaction with me,get back to me 
immediately so that we can start as follows:

1)I will send to you the contact of the security company,the deposite code, 
for you to call for verification if such deposite is really existing.
2)The claim will require both of our physical presentation at the security 
company. With constant communication it will not take us more than seven 
working days to achieve our aim.

It is a promise that at the end of the day you will embrace me and we will 
become one family friends for life as I was with my late client.  Your 
private telephone is also needed in reponse to this proposal for oral 
discussions and better understanding.
While I wait for your reply.

Best Regard
Koffi Kosombo.",Non-Persuasive,The paragraph lacks logical coherence and is filled with inconsistencies and implausible claims.,None,None
"NAME:MRS. SUZANA NUHAN VAYE

%BARR.JAMES BRODERICK (ATTORNEY)

TEL/FAX:44-70-40120730

EMAIL:jamesbroderick009@yahoo.fr

EMAIL:jbroderick@kaixo.com

EMAIL:barrbroderick009@excite.com





ATTN: MD/CEO





Kindly accept my apology for sending my mail to you.Please, I sincerely wish to let you know that this is not the kind of e-mails that you will refer to as ""spam"" or it's like. I am genuine and my attorney will prove it to you once he hear from you.Please help me out in this my condition. I believe you are a highly respected personality,considering the fact that I sourced your profile from a human resource

profile database on your country in the Internet.



Though, I do not know to what extent you are familiar with events and fragile political situation in Liberia but it has formed consistent headlines in the CNN, BBC news bulletins.





My Name is MRS.SUZANA NUHAN VAYE from Liberia,a Country in West Africa. My late Husband is Issac Nuhan Vaye, Deputy Minister of Publ ic Works in Liberia. My Husband was falsely accused of plotting to remove the then PRESIDENT OF LIBERIA CHARLES TAYLOR) from office.Without trial, Charles Taylor killed him. You can verify this from some of the 

international newspapers posted in the web sites below:





(I)http://www.usatoday.com/news/world/2003-07-15-liberia_x.htm



Before my husband was killed, he moved out the sum of $21.5 million through a diplomatic means, and deposited it with a Security Company Abroad. And this money was meant for importation of agriculturalmachinery.





All that is needed is for my lawyer to instruct the company to transfer the funds to your account, I will remunerate you with 20% at the end, but most of all is that I solicit your trust and honesty in this transaction. I have been confined only to our country home and all my calls are monitored, so I wil l advise you to contact my private Attorney Barr.James Broderick base in United Kingdom on his contact stated below for onward proceedings: -





NAME:BARR.JAMES BRODERICK(ATTORNEY)

TEL/FAX:44-70-40120730

EMAIL:jamesbroderick009@yahoo.fr

EMAIL:jbroderick@kaixo.com

EMAIL:barrbroderick009@excite.com





Kindly include your Full Name,Residential or Company Address, Private Telephone, Mobile and Fax Number where you can always be reached,to enable him send details/documents that will enable you receive the fund without any problem either now or in future as allmodalities as been perfected.





Please your urgent response is needed.





God bless you.





Best Regards.





MRS.SUZANA NUHAN VAYE (WIDOW)







___________________________________________________________________________
Wiadomo wysana z witryny http://lukaty.prv.pl",Persuasive,"The email uses emotional appeals, such as the story of the victimized widow and the false accusations, to gain trust and sympathy. It also creates a sense of urgency by stating that the response is needed urgently.","""Please, I sincerely wish to let you know that this is not the kind of e-mails that you will refer to as'spam' or it's like. I am genuine and my attorney will prove it to you once he hear from you.""","Appeal to Popularity, Appeal to Fear/Prejudice, Loaded Language,"
"Sir, I  have just solicited you an admission within the organization of your conference as an observer assistant.car I am an engineer in communication system and I reside in Cameroon. I am particularly very interes by promotion and the evolution of the new techniques informatique.a this effect, I would like to assist has your conference in the direction to if possible contribute a modest share of my data-processing knowledge and to acquire information data processing with an aim of fighting for the Cameronian survival of the companies data-processing in my request for admission to the conference, I would like if possible beneficier of  an assumption of responsibility of my stay in waiting of a continuation favorable to my request, Mister receive my greetings distingueeshalen tchoupou MSN Messenger  : discutez en direct avec vos amis !",Persuasive,"The paragraph is trying to persuade the recipient to admit the sender to a conference by appealing to the recipient's authority and values, and by offering to contribute something in return.","""I would like to assist has your conference in the direction to if possible contribute a modest share of my data-processing knowledge""","Appeal to Authority, Appeal to Values, Loaded Language"
"Greeting,
Sir,
I am contacting you believing you are a honest and trustworthy person.I believe you will not betray the confidence I am willing to repose in you, for me to have contacted you even though we've not met before.
My name is Ahmed Tankoh,the only son of late Mr.Hassan Tankoh who was the chairman /President/CEO,Cacao-Cafe & Agro-Alimentary industries plc.SCAFECAO)""Bouake"" and ex-owner of Polyclinic LA-MADONNE, of the Republic of Cote d'Ivoire.
You can find the story on this website:http://news.bbc.co.uk/2/hi/africa/2269238.stm
On 19th of September 2002,a group of so called rebels took over the city of Bouake to over-throw the Government of Mr.Laurent Gbagbo the President of Cote d'Ivoire. On the 20th day morning at about 4:18am some fractions of the same group of rebels break into our house and killed our security guard and pass-through the gate entrance to the main building and took my father away to an un-known destination.
After about four hours later we found him (my father) at the road side, by then he had been totally beaten and was bleeding to death lying in the pool of his own blood. From there, we rushed him to a near by hospital and hours later he sent for my mother. So he told her that he can not make it from the doctors diagnosis, he also told her that it was because he (my father) was not from the northern part of the country that he has been treated this way and also being a political activist. And again he said he is suspecting some of his business partners for conspiracy and this sort of brutality. He also told my mother that he deposited a huge amount of money i.e US$ 10.5million dollars(Ten million five hundred thousand us dollars only) into a Bank in the Capital city of Dakar Senegal he also told my mother where he kept the whole documents concerning this deposit that is made for investment purpose in the western world.
That same day, he (my father) gave up the ghost. Then with the help of the French soldiers, we escaped to Senegal, where we are now. I am now contacting you believing you are honest and trustworthy to help us to receive the money in your account for investment, I and my mother has decided in compensating you 30%of the total amount for your assistance .
Please do take your time to go through the mail and get back to us, so that I will simply introduce you to the Bank where the fund are being kept now for onward transfer. So you can contact me through my alternate email adress for security reason.
Email ahmedtankoh200@yahoo.comI am waiting for your response.
Thanks and God bless.
Ahmed Tankoh .",Persuasive,"The letter uses emotional appeal, building trust with the recipient, and offering a high return for their assistance.","""I believe you will not betray the confidence I am willing to repose in you"", ""I and my mother has decided in compensating you 30% of the total amount for your assistance""","Appeal to Authority (appealing to the recipient's trustworthiness), Loaded Language (using emotional words like ""honest"", ""trustworthy"", ""compensating""), Repetition (repeating the phrase ""I believe"" and ""I"
"FROM: ANTHONY ELUMELU
STANDARD TRUST BANK NIGERIA PLC
HEAD OFFICE: STANDARD PLACE
Plot 1662, Oyin Jolayemi Street 
Victoria Island, 
Lagos, Nigeria
Email: tonystb@walla.com 

Dear Friend,

My name is ANTHONY ELUMELU, the Managing Director of STANDARD TRUST 
BANK PLC. I am using this medium to solicite for your assistant 
regarding FUND TRANSFER ABROAD. At my disposal, I have an over-invoiced 
sum of $25m USD (Twenty Five Million United State Dollars) which can 
only be claim by a foreigner. This fund came as a result of over-
invoiced cost of the Rehabilitation and Renovation of Passport 
Immigration Offices in Lagos, handled by a German Contractor WOLFGANG 
POHL ENGINEERING GMBH, GERMANY; and after receiving payment, the left 
over could only be claim by an alien citizen. Hence, I want you to make 
this claim so that the fund could be release to your chosen account 
abroad where I will join you for onward disbursement. I have all the 
necessary certified back-up documentations that will prove you as the 
ownership of the fund. You will be receiving 35% of the said fund for 
your assistance, 60% will be mine as the initiator of this business 
while 5% will be use for any expenses that may be incur as this 
transaction progresses either from telephone bills or fax messages.
As soon as you receive this message, indicated your interest by sending 
me your telephone and fax number through my direct email 
tonystb@walla.com for effective communication.
I look forward working with you.

Best regards,
MR. ANTHONY ELUMELU
MD (STB)   
Reply TO tonystb@walla.com

Please Endeavour to reply tonystb@walla.com",Persuasive,The paragraph uses a false sense of urgency and implies that the recipient will benefit financially if they assist the sender.,"""I want you to make this claim so that the fund could be release to your chosen account abroad"" and ""You will be receiving 35% of the said fund for your assistance""","Appeal to Interest (Loaded Language), Appeal to Self-Interest (Loaded Language)  (Loaded Language)  (Loaded Language)  (Loaded Language)  (Loaded Language)  (Loaded Language)  (Loaded Language)  (Loaded Language"
"Dear friend,

I am Mr. Alexander Gedike a personal treasurer to Mikhail Khodorkovsky the 
Richest man in Russia and owner of the following companies: Chairman/CEO: 
YUKOS OIL (Russian's Largest Oil Company), Chairman/CEO: Menatep SBP Bank (A 
well reputable financial institution with its Branches all over the
world).

SOURCE OF FUNDS:
I have a profiling amount in an excess of US$35,000,000 which I seek  your  
Partnership in accommodating for me. You will be rewarded with 10% of  the  
total sum for your partnership. Can you be my partner on this?

INTRODUCTION OF MYSELF:
As a personal treasurer to him, authority was handed over to me to transfer 
some money to an American oil merchant for his last oil deal with my boss 
Mikhail Khodorkovsky.

Already the funds have left the shore of Russia to a European private Bank 
where the final crediting is expected to be carried out. While I was on the 
process, My Boss got arrested for his Involvement in politics by financing 
the leading and opposing political parties (the Union of Right Forces, Led 
by Boris Nemtsov, and Yabloko, a liberal/social democratic party Led by 
Gregor Yavlinsky) which poses a treat to President Vladimir Putin's Second 
Tenure as Russian president.

You can catch more of the story on this website:

http://newsfromrussia.com/main/2003/11/13/51215.html
http://en.wikipedia.org/wiki/Mikhail_Khodorkovsky

YOUR ROLE:
All I need from you is to stand as the beneficiary of the above quoted Sum 
and I will re-profile the funds with your name, which will enable the 
European bank transfer the sum to you with the aid of a Security firm in 
London. The transaction has to be concluded before Mikhail Khodorkovsky is 
out on bail. As Soon as I confirm your readiness to conclude the transaction 
with me, I will provide you with the details.

Please respond to my private email which is:alexandergedike71@walla.com

Thank you very much

Regards

Alexander Gedike (Mr.)",Persuasive,The paragraph is trying to convince the reader to be the beneficiary of a large sum of money by offering a partnership and a 10% reward.,"""You will be rewarded with 10% of the total sum for your partnership.""","Appeal to Greed, Loaded Language (""partner on this""), Consequential Oversimplification (the urgency of the transaction)."
"At the last reviewing at your amazon account we discovered that your information is inaccurate. We apologize for this but because most frauds are possible because we don't have enough information about our clients, we require this verification. Please login and reenter  your personal information.  Please follow this link to update your personal information:   http://www.amazon.com/exec/obidos/sign-in.html (To complete the verification process you must fill in all the required fields)  Please note: If you don't update your information within next 48 hours , we will be forced to suspend your account untill you have the time to contact us by phone.  We apreciate your support and understanding, as we work together to keep amazon market a safe place to trade. Thank you for your attention on this serious matter and we apologize.  This message was generated automatically, please do not reply to it. Amazon treats your personal information with the utmost care, and our Privacy Policy is designed to protect you and your information.",Persuasive,The message tries to persuade the user to update their personal information by creating a sense of urgency and emphasizing the importance of verification.,"""Please login and reenter your personal information"", ""If you don't update your information within next 48 hours, we will be forced to suspend your account""","Appeal to Fear/Prejudice, False Dilemma/No Choice, Consequential Oversimplification, Loaded Language, Repetition, Name-Calling/Labeling, Appeal to Time, Flag Waving."
